ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
76809801,1754418314,1754418314048,1754418314,1754418314191,0,1,0,1,4,1000,76809801,0,3,0.03,0.0,0.0,3388.45,3381.45,3384.53,0.0,XAUUSD,Robo XAUUSD,rUUW0oVDl7FpiaG8B
76813097,1754419131,1754419131916,1754419132,1754419132063,0,0,0,1,4,1000,76809801,0,4,0.03,0.0,3384.45,0.0,0.0,3384.45,0.0,XAUUSD,[sl 3384.45],r0IY0oR-l7FpVDl7Fih98B
76898897,1754455642,1754455642557,1754455642,1754455642703,0,1,0,1,4,1000,76898897,0,3,0.03,0.0,0.0,3382.02,3377.02,3378.02,0.0,XAUUSD,Robo XAUUSD,r2zM1oR0A8Fpi45QC
76899968,1754455868,1754455868309,1754455868,1754455868454,0,0,0,1,4,1000,76898897,0,5,0.03,0.0,3377.02,0.0,0.0,3377.02,0.0,XAUUSD,[tp 3377.02],rneN1oIGB8FpR0A8FiyHRC
76908477,1754457372,1754457372679,1754457372,1754457372815,0,0,0,1,4,1000,76908477,0,3,0.03,0.0,0.0,3372.48,3379.48,3376.48,0.0,XAUUSD,Robo XAUUSD,rx7S1o9bD8FpiyCTC
76912600,1754459030,1754459030508,1754459030,1754459030632,0,1,0,1,4,1000,76908477,0,4,0.03,0.0,3376.48,0.0,0.0,3376.48,0.0,XAUUSD,[sl 3376.48],rvMV1oslE8Fp9bD8Fiz_TC
76929453,1754469066,1754469066903,1754469067,1754469067022,0,0,0,1,4,1000,76929453,0,3,0.03,0.0,0.0,3368.6,3375.6,3372.61,0.0,XAUUSD,Robo XAUUSD,rWSf1ohRJ8Fpi3_XC
76930070,1754469291,1754469291470,1754469291,1754469291583,0,1,0,1,4,1000,76929453,0,4,0.03,0.0,3372.6,0.0,0.0,3372.6,0.0,XAUUSD,[sl 3372.60],r4mf1o2bJ8FphRJ8Fi4JYC
76930081,1754469294,1754469294754,1754469294,1754469294905,0,0,0,1,4,1000,76930081,0,3,0.03,0.0,0.0,3368.96,3375.96,3372.98,0.0,XAUUSD,Robo XAUUSD,rXnf1oBcJ8FpiDKYC
76933760,1754471047,1754471047301,1754471047,1754471047451,0,1,0,1,4,1000,76930081,0,5,0.03,0.0,3375.96,0.0,0.0,3375.96,0.0,XAUUSD,[tp 3375.96],r4lh1oUdK8FpBcJ8FisFZC
